PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
SALA COMERCIAL - EDIFÍCIO EMBRAED CENTRO EMPRESARIAL	R$5.800,00	Itajaí, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-edificio-embraed-centro-empresarial-1367746094
Alugo sala comercial Biguaçu	R$4.000,00	Biguaçu, Fundos	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-sala-comercial-biguacu-1387246880
Sala comercial Térrea - Centro	R$3.700,00	São Miguel do Oeste	https://sc.olx.com.br/oeste-de-santa-catarina/comercio-e-industria/sala-comercial-terrea-centro-1387242492
Kit casas pré fabricadas de Pinus tratado em autoclave.	R$20.000,00	Palhoça, Praia do Sonho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/kit-casas-pre-fabricadas-de-pinus-tratado-em-autoclave-1383700928
Oportunidade Imperdível: Mercado em Funcionamento - São Sebastião	R$280.000,00	Palhoça, São Sebastião	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/oportunidade-imperdivel-mercado-em-funcionamento-sao-sebastiao-1382532186
Container para Lanchonete	R$12.999,00	Florianópolis, Carianos	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/container-para-lanchonete-1387230324
Vendo sala comercial no Estreito.	R$145.000,00	Florianópolis, Estreito	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-sala-comercial-no-estreito-1387229694
Pavilhão Disponível Para Locação Em Urussanga/SC	R$4.500,00	Urussanga	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/pavilhao-disponivel-para-locacao-em-urussanga-sc-1302136560
Ponto à venda, 450 m² por R$ 2.100.000,00 - Brasília - Itapoá/SC PT0006	R$2.100.000,00	Itapoá	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/ponto-a-venda-450-m-por-r-2-100-000-00-brasilia-itapoa-sc-pt0006-919842637
Galpão para venda no Sertão do Maruim, São José - SC.	R$23.092.000,00	São José, Forquilhas	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-para-venda-no-sertao-do-maruim-sao-jose-sc-1387220729
PASSO PONTO COMERCIAL AV BRASIL	R$119.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/passo-ponto-comercial-av-brasil-1377616027
BAR NA BEIRA MAR DE COQUEIROS	R$400.000,00	Florianópolis, Coqueiros	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/bar-na-beira-mar-de-coqueiros-1373630813
Escritório Florianópolis - Personalizável	R$6.000,00	Florianópolis, Agronômica	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/escritorio-florianopolis-personalizavel-1385487032
Sala Comercial - Bairro Costa e Silva - 67m²	R$2.000,00	Joinville, Costa e Silva	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-bairro-costa-e-silva-67m-1357583960
Clínica MEDCENTER, medicina do trabalho, sala com 178m², à venda!	R$500.000,00	Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/clinica-medcenter-medicina-do-trabalho-sala-com-178m-a-venda-1387210614
Alugo Galpão Comercial	R$4.300,00	Itajaí, Cordeiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-galpao-comercial-1387204836
SALA COMERCIAL NOVA	R$2.900,00	Joinville, Bucarein	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-nova-1387202563
Sala Comercial para Venda em São José, Campinas, 1 banheiro, 1 vaga	R$375.000,00	São José, Campinas	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-para-venda-em-sao-jose-campinas-1-banheiro-1-vaga-1387201241
Galpão Logístico em Condomínio Fechado 8.103,98 m² - Itajaí/SC 5km da BR101	R$243.000,00	Itajaí, Espinheiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-8-103-98-m-itajai-sc-5km-da-br101-1387195242
Prédio para renda em Itapema ou para construção de prédio 47 de frente!	R$10.000.000,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-para-renda-em-itapema-ou-para-construcao-de-predio-47-de-frente-1387194952
Galpão Logístico de Alto Padrão em Condomínio Fechado - Itajaí-SC	R$7.308.000,00	Itajaí, Salseiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-de-alto-padrao-em-condominio-fechado-itajai-sc-1387194930
Invista no Galpão Industrial Ideal em Indaial Excelente Acesso Logístico	R$3.000.000,00	Indaial, Encano	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/invista-no-galpao-industrial-ideal-em-indaial-excelente-acesso-logistico-1387194914
Galpão para Venda/Locação Itoupava Central em Blumenau - 6.500m²	R$14.000.000,00	Blumenau, Itoupava Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-venda-locacao-itoupava-central-em-blumenau-6-500m-1387194901
Galpão Logístico em Condomínio Fechado 970,82 m² - Itajaí/SC 5km da BR101	R$29.124,00	Itajaí, Espinheiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-970-82-m-itajai-sc-5km-da-br101-1387194895
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$45.000,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387194896
Oportunidade REAL de Investimento Galpão já locado para investidor!	R$15.900.000,00	Porto Belo	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/oportunidade-real-de-investimento-galpao-ja-locado-para-investidor-1387194866
Prédio Comercial/Residencial á venda no Bairro Salto Weissbach	R$11.000,00	Blumenau, Salto Weissbach	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-comercial-residencial-a-venda-no-bairro-salto-weissbach-1387194848
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$9.000.320,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387194856
Casa Comercial para Locação no Bairro Ponta Aguda	R$12.000,00	Blumenau, Ponta Aguda	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/casa-comercial-para-locacao-no-bairro-ponta-aguda-1387194835
Galpão Venda ou Locação bairro Nações Indaial 4.000m² total	R$50.000,00	Indaial, Nações	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-venda-ou-locacao-bairro-nacoes-indaial-4-000m-total-1387194841
Loja agropecuária em Tijucas	R$140.000,00	Tijucas	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/loja-agropecuaria-em-tijucas-1380078838
SALA COMERCIAL - EDIFÍCIO EMBRAED CENTRO EMPRESARIAL	R$5.800,00	Itajaí, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-edificio-embraed-centro-empresarial-1367746094
Alugo sala comercial Biguaçu	R$4.000,00	Biguaçu, Fundos	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-sala-comercial-biguacu-1387246880
Kit casas pré fabricadas de Pinus tratado em autoclave.	R$20.000,00	Palhoça, Praia do Sonho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/kit-casas-pre-fabricadas-de-pinus-tratado-em-autoclave-1383700928
Sala Comercial com 130m² em Itapema/SC! | Cimo Imóveis	R$990.000,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-com-130m-em-itapema-sc-cimo-imoveis-1387194821
Sala Comercial à Venda em Timbó - Bairro das Nações 41,8m²	R$230.000,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-em-timbo-bairro-das-nacoes-41-8m-1387194826
Galpão a venda ou Locação com 700 m² no Bairro Vila Nova.	R$1.750.000,00	Blumenau, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-ou-locacao-com-700-m-no-bairro-vila-nova-1387194828
Sala Comercial à Venda em Timbó - Bairro das Nações 77,7m²	R$470.000,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-em-timbo-bairro-das-nacoes-77-7m-1387194810
Galpão para Alugar Indaial - Bairro Encano do Norte Próximo à Blumenau	R$38.600,00	Indaial, Encano do Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-alugar-indaial-bairro-encano-do-norte-proximo-a-blumenau-1387194815
Sala Comercial à Venda em Timbó - Bairro das Nações 83,5m²	R$520.000,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-em-timbo-bairro-das-nacoes-83-5m-1387194788
Sala Comercial à Venda no Centro de Blumenau	R$280.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-no-centro-de-blumenau-1387194790
Galpão para Venda/Locação Itoupava Central em Blumenau - 6.500m²	R$110.000,00	Blumenau, Itoupava Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-venda-locacao-itoupava-central-em-blumenau-6-500m-1387194791
Galpão para Locação em Itajaí 470m² - Bairro São João	R$20.000,00	Itajaí, São João	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-itajai-470m-bairro-sao-joao-1387194792
Galpão na rodovia Jorge Lacerda em Gaspar, terreno com 12.000 m² de área!!!	R$10.750.000,00	Gaspar, Sete de Setembro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-na-rodovia-jorge-lacerda-em-gaspar-terreno-com-12-000-m-de-area-1387194802
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$36.840,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387194807
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$4.685.000,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387194783
Galpão no Bairro Arapongas em Indaial próx. a BR 101, metragem de 22.721m²	R$7.800.000,00	Indaial, Arapongas	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-no-bairro-arapongas-em-indaial-prox-a-br-101-metragem-de-22-721m-1387194785
Galpão Venda ou Locação bairro Nações Indaial 4.000m² total	R$9.200.000,00	Indaial, Nações	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-venda-ou-locacao-bairro-nacoes-indaial-4-000m-total-1387194786
Sala Comercial à Venda no Centro de Blumenau	R$1.800,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-no-centro-de-blumenau-1387194773
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$91.710,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387194774
Galpão Locação Fortaleza Alta Blumenau - 1266m²	R$26.000,00	Blumenau, Fortaleza Alta	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-locacao-fortaleza-alta-blumenau-1266m-1387194777
Galpão para Alugar Indaial - Bairro Encano 450m²	R$7.000,00	Indaial, Encano	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-alugar-indaial-bairro-encano-450m-1387194780
Galpão para Alugar Gaspar - Bairro Belchior Baixo 355 m²	R$7.200,00	Gaspar, Belchior Baixo	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-alugar-gaspar-bairro-belchior-baixo-355-m-1387194761
Locação de galpão Blumenau - Itoupava Central 383m²	R$8.300,00	Blumenau, Itoupava Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/locacao-de-galpao-blumenau-itoupava-central-383m-1387194765
Oportunidade Única de Negócio no Bairro Itoupava Norte	R$4.700.000,00	Blumenau, Itoupava Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/oportunidade-unica-de-negocio-no-bairro-itoupava-norte-1387194766
Galpão para locação no bairro Espinheiros - Itajaí	R$18.000,00	Itajaí, Espinheiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-no-bairro-espinheiros-itajai-1387194739
Sala Comercial para Locação no Bairro Victor Konder 204m² | Cimo Imóveis	R$8.500,00	Blumenau, Victor Konder	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-para-locacao-no-bairro-victor-konder-204m-cimo-imoveis-1387194741
Sala Comercial para alugar, 660 m² - Centro - Itajaí	R$25.000,00	Itajaí, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-para-alugar-660-m-centro-itajai-1387194742
Galpão novo de 760m² para alugar em Camboriú | Cimo	R$19.000,00	Camboriú, Rio Pequeno	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-novo-de-760m-para-alugar-em-camboriu-cimo-1387194747
Sala Comercial com 130m² em Itapema/SC! | Cimo Imóveis	R$5.000,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-com-130m-em-itapema-sc-cimo-imoveis-1387194748
Galpão à venda no bairro Itoupavazinha, com 1.300m² de terreno.	R$1.490.000,00	Blumenau, Itoupavazinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-no-bairro-itoupavazinha-com-1-300m-de-terreno-1387194750
Galpão no Bairro Arapongas em Indaial próx. a BR 101, metragem de 22.721m²	R$45.000,00	Indaial, Arapongas	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-no-bairro-arapongas-em-indaial-prox-a-br-101-metragem-de-22-721m-1387194755
Máquina de arrematar fios e linha	R$1.800,00	Guabiruba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/maquina-de-arrematar-fios-e-linha-1387194556
Passo ponto comercial mobiliado com equipamentos de estética	R$50.000,00	Palhoça, Ponte do Imaruim	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/passo-ponto-comercial-mobiliado-com-equipamentos-de-estetica-1263099552
Sala Comercial no Centro de Blumenau - 44m²	R$280.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-no-centro-de-blumenau-44m-1387193302
Sala Comercial no Centro de Blumenau - 44m²	R$1.800,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-no-centro-de-blumenau-44m-1387193309
Galpão Logístico em Condomínio Fechado 1.974,36 m² - Itajaí/SC 5km da BR101	R$59.230,00	Itajaí, Espinheiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-1-974-36-m-itajai-sc-5km-da-br101-1387193310
Prédio Comercial na Via Expressa, Blumenau | Cimo Imóveis	R$80.000,00	Blumenau, Itoupava Norte	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-comercial-na-via-expressa-blumenau-cimo-imoveis-1387193298
VENDE-SE ACADEMIA - FLORIANÓPOLIS/SC	R$1.200.000,00	Florianópolis, Trindade	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vende-se-academia-florianopolis-sc-1360558270
Sala Comercial para Locação em Balneário Camboriú - 1800m²	R$90.000,00	Balneário Camboriú, Ariribá	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-para-locacao-em-balneario-camboriu-1800m-1387192400
Galpão no Bairro Velha Central em Blumenau com 3900 m²	R$46.000,00	Blumenau, Velha Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-no-bairro-velha-central-em-blumenau-com-3900-m-1387192383
Galpão no Bairro Velha Central em Blumenau com 3900 m²	R$8.900.000,00	Blumenau, Velha Central	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-no-bairro-velha-central-em-blumenau-com-3900-m-1387192370
Galpão para locação em Gaspar - 1400m²	R$28.000,00	Gaspar, Santa Terezinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-gaspar-1400m-1387192372
Oportunidade Única! Terreno com Galpão e Casa Típica Enxaimel	R$10.000.000,00	Blumenau, Salto Weissbach	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/oportunidade-unica-terreno-com-galpao-e-casa-tipica-enxaimel-1387192357
Galpão para Locação com 246m² no Bairro Morretes, Itapema	R$7.250,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-com-246m-no-bairro-morretes-itapema-1387192350
Galpão para Aluguel em Rio Pequeno, Camboriú - SC | Cimo Imóveis	R$20.000,00	Camboriú	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-aluguel-em-rio-pequeno-camboriu-sc-cimo-imoveis-1387192354
Aluguel de galpão Blumenau - Bairro Garcia com Espaço Amplo	R$30.000,00	Blumenau, Garcia	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluguel-de-galpao-blumenau-bairro-garcia-com-espaco-amplo-1387192347
Galpão de 540m² para Locação Bairro Encano, Indaial	R$9.000,00	Indaial, Encano	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-de-540m-para-locacao-bairro-encano-indaial-1387192346
Casa Comercial Semi Mobiliada para Locação no Bairro Ponta Aguda	R$6.600,00	Blumenau, Ponta Aguda	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/casa-comercial-semi-mobiliada-para-locacao-no-bairro-ponta-aguda-1387192339
Galpão para Locação com 346m² no Bairro Morretes, Itapema | Cimo Imóveis	R$7.250,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-com-346m-no-bairro-morretes-itapema-cimo-imoveis-1387192331
Galpão à venda, Itoupavazinha em Blumenau, com área útil de 510 m²	R$1.100.000,00	Blumenau, Itoupavazinha	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-itoupavazinha-em-blumenau-com-area-util-de-510-m-1387192327
Amplo Prédio Industrial em Rodeio 23.800 m², EXCELENTE PARA INVESTIMENTO!	R$60.000,00	Rodeio	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/amplo-predio-industrial-em-rodeio-23-800-m-excelente-para-investimento-1387192320
Prédio comercial para locação em Blumenau - Bairro Fortaleza	R$120.000,00	Blumenau, Fortaleza	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-comercial-para-locacao-em-blumenau-bairro-fortaleza-1387192321
Galpão em Condomínio na Rodovia Ivo Silveira - Oportunidade Imperdível	R$46.500,00	Brusque, Bateas	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-em-condominio-na-rodovia-ivo-silveira-oportunidade-imperdivel-1387192309
Oportunidade Imperdível: Mercado em Funcionamento - São Sebastião	R$280.000,00	Palhoça, São Sebastião	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/oportunidade-imperdivel-mercado-em-funcionamento-sao-sebastiao-1382532186
PASSO PONTO COMERCIAL AV BRASIL	R$119.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/passo-ponto-comercial-av-brasil-1377616027
BAR NA BEIRA MAR DE COQUEIROS	R$400.000,00	Florianópolis, Coqueiros	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/bar-na-beira-mar-de-coqueiros-1373630813
Sala Comercial - Bairro Costa e Silva - 67m²	R$2.000,00	Joinville, Costa e Silva	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-bairro-costa-e-silva-67m-1357583960
Prédio Comercial/Residencial á venda no Bairro Salto Weissbach	R$4.900.000,00	Blumenau, Salto Weissbach	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/predio-comercial-residencial-a-venda-no-bairro-salto-weissbach-1387192311
Sala Comercial no Centro de Blumenau	R$280.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-no-centro-de-blumenau-1387192316
Galpão Comercial de 300m² em Localização Estratégica Próximo à BR-101	R$12.000,00	Camboriú, Várzea do Ranchinho	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-comercial-de-300m-em-localizacao-estrategica-proximo-a-br-101-1387192297
Amplo Prédio Industrial em Rodeio 23.800 m², EXCELENTE PARA INVESTIMENTO!	R$7.990.000,00	Rodeio	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/amplo-predio-industrial-em-rodeio-23-800-m-excelente-para-investimento-1387192299
Sala Comercial Térrea 240m² no Bairro Cidade Nova - Itajaí	R$10.500,00	Itajaí, Cidade Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-terrea-240m-no-bairro-cidade-nova-itajai-1387192285
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$17.400.000,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387192286
Sala Comercial à Venda em Timbó - Bairro das Nações 102m²	R$620.000,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-em-timbo-bairro-das-nacoes-102m-1387192288
Sala Comercial no Centro de Blumenau	R$1.800,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-no-centro-de-blumenau-1387192278
Sala Comercial à Venda em Timbó - Bairro das Nações 54,9m²	R$300.000,00	Timbó	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-a-venda-em-timbo-bairro-das-nacoes-54-9m-1387192253
Esmalteria Completa á Venda - Espaço Cleo	R$80.000,00	Camboriú, Tabuleiro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/esmalteria-completa-a-venda-espaco-cleo-1385449789
Galpão para Locação em Itajaí às margens da BR470	R$60.000,00	Itajaí, Salseiros	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-para-locacao-em-itajai-as-margens-da-br470-1387188045
GALPÃO LOGÍSTICO EM CONDOMÍNIO FECHADO - ITAJAÍ/SC 8km do Porto.	R$69.000,00	Itajaí, Canhanduba	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-logistico-em-condominio-fechado-itajai-sc-8km-do-porto-1387187997
Galpão à Venda em Blumenau 1.187m² Construídos em Terreno de 3.200m²	R$3.200.000,00	Blumenau, Badenfurt	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-em-blumenau-1-187m-construidos-em-terreno-de-3-200m-1387187998
Galpão à venda, no Bairro Fortaleza, Blumenau, SC, com área de 186 m²	R$950.000,00	Blumenau, Fortaleza	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/galpao-a-venda-no-bairro-fortaleza-blumenau-sc-com-area-de-186-m-1387188006
Sala Comercial para Locação no Bairro Victor Konder | Cimo Imóveis	R$6.800,00	Blumenau, Victor Konder	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-para-locacao-no-bairro-victor-konder-cimo-imoveis-1387187995
Sala comercial	R$2.000,00	Joinville, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-comercial-1387185760
OPORTUNIDADE ÚNICA!!! Vendo imóvel Espetacular com aproximadamente 12.000 m2 em Garuva/SC.	R$4.990.000,00	Garuva	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/oportunidade-unica-vendo-imovel-espetacular-com-aproximadamente-12-000-m2-em-garuva-sc-1353459260
Sala comercial lagoa	R$3.000,00	Florianópolis, Lagoa da Conceição	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-lagoa-1387179034
Galpão Industrial para Locação	R$6.000,00	Palhoça, Barra do Aririú	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-industrial-para-locacao-1371784112
Aluguel Galpão Pomerode	----	Pomerode	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluguel-galpao-pomerode-1387170194
Sala Depósitode 200mt2 no centro de Guaramirim, ótimo para contratação de funcionários	R$4.000,00	Guaramirim	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-depositode-200mt2-no-centro-de-guaramirim-otimo-para-contratacao-de-funcionarios-1387170608
Venda Ponto Comercial - 80m2	----	Itajaí, São João	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/venda-ponto-comercial-80m2-1385488786
alugo loja frente SC 401 -visibilidade total Business Decor	R$6.250,00	Florianópolis, Saco Grande	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/alugo-loja-frente-sc-401-visibilidade-total-business-decor-1372680580
LOJA TERREA NA RUA JOAO COLIN EM JOINVILLE	R$1.600,00	Joinville, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-terrea-na-rua-joao-colin-em-joinville-1373624863
Terreno Industrial frente BR 470	R$8.000.000,00	Lontras, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/terreno-industrial-frente-br-470-1336407085
Sala Comercial	R$1.500,00	Antônio Carlos	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-1289090096
Galpão para alugar SC 401	R$14.900,00	Florianópolis, Vargem Grande	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-para-alugar-sc-401-1376213466
Loja de Roupas (Negocio valor e aceito permuta)	R$60.000,00	Joinville, Itinga	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-de-roupas-negocio-valor-e-aceito-permuta-1387156719
Vendo Tradicional Lotérica em Florianópolis anexa a supermercado com grande fluxo	R$290.000,00	Florianópolis, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-tradicional-loterica-em-florianopolis-anexa-a-supermercado-com-grande-fluxo-1387156181
Loja de material de construção em Balneário Camboriú	R$200.000,00	Balneário Camboriú, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/loja-de-material-de-construcao-em-balneario-camboriu-1387155187
Excelente Sala Comercial (95 m²) - Bairro Dehon - Tubarão/SC	R$2.200,00	Tubarão, Dehon	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/excelente-sala-comercial-95-m--bairro-dehon-tubarao-sc-1387154323
Vende ponto de Salão de Beleza Sensualitê	R$390.000,00	Florianópolis, Campeche	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vende-ponto-de-salao-de-beleza-sensualite-1380614318
Sala nova a 50m Av Nereu Ramos	R$2.800,00	Itapema	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/sala-nova-a-50m-av-nereu-ramos-1381701532
